file,script,avg_seconds
2201_00214_pdf,run_extractous_stream,2.209382172
2201_00151_pdf,run_extractous_stream,0.99751180566
1707_09725_pdf,run_extractous_stream,0.83450286118
2201_00021_pdf,run_extractous_stream,0.43379317790666666
2201_00037_pdf,run_extractous_stream,0.59359539128
2201_00069_pdf,run_extractous_stream,0.4705160156066667
2201_00178_pdf,run_extractous_stream,0.4299140101800001
2201_00201_pdf,run_extractous_stream,0.39844765719142855
1602_06541_pdf,run_extractous_stream,0.4843320312600001
2201_00200_pdf,run_extractous_stream,0.38876471588
2201_00022_pdf,run_extractous_stream,0.4610638033600001
2201_00029_pdf,run_extractous_stream,0.23079941465999998
1601_03642_pdf,run_extractous_stream,0.3636191104
GeoTopo_pdf,run_extractous_stream,1.0693872279
2201_00214_pdf,run_unstructured,47.095383351980004
2201_00151_pdf,run_unstructured,16.466934925180002
1707_09725_pdf,run_unstructured,13.835157081080002
2201_00021_pdf,run_unstructured,7.636607085660001
2201_00037_pdf,run_unstructured,10.507676005679999
2201_00069_pdf,run_unstructured,10.481342032519999
2201_00178_pdf,run_unstructured,7.495728676880001
2201_00201_pdf,run_unstructured,8.51658328372
1602_06541_pdf,run_unstructured,7.821417879739999
2201_00200_pdf,run_unstructured,7.005191890159999
2201_00022_pdf,run_unstructured,8.11819785146
2201_00029_pdf,run_unstructured,6.6888553312
1601_03642_pdf,run_unstructured,6.10508085596
GeoTopo_pdf,run_unstructured,24.085325738279998
2201_00214_pdf,run_pypdf2,13.70798766488
2201_00151_pdf,run_pypdf2,3.79827079756
1707_09725_pdf,run_pypdf2,1.6219614330999998
2201_00021_pdf,run_pypdf2,0.5275457079400001
2201_00037_pdf,run_pypdf2,0.8193986911200002
2201_00069_pdf,run_pypdf2,0.43887096942
2201_00178_pdf,run_pypdf2,0.4148221666714286
2201_00201_pdf,run_pypdf2,0.37744727374000003
1602_06541_pdf,run_pypdf2,0.4785730299333333
2201_00200_pdf,run_pypdf2,0.42619926632
2201_00022_pdf,run_pypdf2,0.41421411058
2201_00029_pdf,run_pypdf2,0.38227307565428575
1601_03642_pdf,run_pypdf2,0.25660780586
GeoTopo_pdf,run_pypdf2,3.4014454840600004
